,,,,,,
UK Civil Protection Lexicon,,,,,,
Version 2.1.1 (February 2013),,,,,,
Explanatory Notes and Version History appear in separate sheets,,,,,,
"For further information, related documents and the current version go to: ",,,,,,
www.cabinetoffice.gov.uk/cplexicon,,,,,,
Primary Term,Abbreviation or acronym,Included / Revised in  Ver. ,Source,Definition                                                                                        (text in bold indicates a related defintion in the Lexicon),Notes on definition,Geography or jurisdiction to which the term is restricted
4x4 Response,,2.1,CCS,"A voluntary sector organisation that provides 4x4 vehicles & drivers to support emergency responders and voluntary organisations when road or weather conditions prevent their normal vehicles from operating, or their vehicles or drivers are depleted.",,
Access Control Point,ACP,1.0,CCS,Controlled point through which essential non-emergency service personnel may gain access through the outer cordon  ,,
ACCess OverLoad Control,ACCOLC,2.0,CCS,Replaced by Mobile Telephone Privileged Access Scheme (MTPAS),Note: this is a historical term for a scheme that no longer operates in its current form.,
Accident,,1.0,CCS,"Unplanned, unexpected, unintended and undesirable happening which results in or has the potential for injury, harm, ill-health or damage",,
Accredited Media Representative , ,2.0,CCS,"Card carrying member of the National Union of Journalists, or one who has been issued with a pass in connection with a particular incident",,
Aeronautical rescue co-ordination centre ,ARCC,1.0,CCS,Royal Air Force facility at Kinloss responsible for the co-ordination of all airborne assets deployed in a rescue operation,,
Affected council ,,2.0,CCS,(Local authority guidance term for) Local council requesting mutual aid of another council,,
Agency ,,2.0,CCS,"1)     A generic term, widely used as synonymous with organisation; ",,
,,,,"2) Agencies: collective term often used, especially within Central Government, to describe the Intelligence Agencies",,
Agricultural and Food Countermeasures Working Group,AFCWG,2.0,NEPLG,"A group, established in 1997, to involve stakeholders in the development of strategies for managing agricultural land and products following a nuclear accident.",,
Air Ambulance,,1.0,CCS,Aircraft (usually a helicopter) used primarily to transport medical or paramedical staff to the site of an incident or emergency and casualties to specialist trauma centres and/or designated hospitals,,
Airborne Search and Rescue ,ASAR,1.0,CCS,Use of aircraft and aircrew to locate persons in distress or danger and remove them to a place of relative safety,,
Aircraft      Co-ordinator ,AirCO,1.0,CCS,Person who supervises the involvement of multiple aircraft in search and rescue operations,,
Airwave,AIRWAVE,2.1,CCS,"The common, secure digital radio system used by the emergency services and others in the resilience and security community.  The system is based on the TETRA standards set.  ",,
Alternat(iv)e Emergency Control Centre  ,,2.0,CCS,(Local authority guidance term for) Emergency Control Centre (ECC) provided by a partner organization of a local authority in the event of an ECC being unavailable,,
Ambulance Incident Commander ,AIC,1.0,CCS ,Officer of the ambulance service with overall responsibility for the work of that service at the scene of an emergency,,
Ambulance Loading Point ,ALP,1.0,CCS,"Area in close proximity to the Casualty Clearing Station, where ambulances can be manoeuvred and patients placed in ambulances for transfer to hospital  ",,
Ante Mortem ,,1.0,CCS,Before death (Latin),,
Ante Mortem Co-ordinator ,,1.0,CCS,"Officer responsible for preparation of a file in respect of each person reported missing and believed to be amongst the deceased, and for supervising the Ante-Mortem Team  ",,
Ante-Mortem Data,,1.0,CCS,"Information obtained from family, friends, etc. about a person who is believed to be among the deceased",,
Ante-Mortem Team,,1.0,CCS,Officers responsible for liaising with the next of kin on all matters relating to the identification of the deceased,,
Anticipation ,,1.0,CCS,The first phase of the Integrated Emergency Management process,,
Arms and Explosive Search ,AES,2.1,MOD,,Note: included for Acronym,
Army bomb disposal unit,11 EOD Regt RLC,2.1,MOD,,Note: included for Acronym,
As Low As Reasonably Practicable ,ALARP,2.0,CCS,,Note: included for Acronym.,
Assembly Point ,,2.0,CCS,See  Evacuation Assembly Point,,
Assistance Centre,,1.0,CCS,Any facility (whether physical or virtual) set up during response to and recovery from an emergency to provide a range of assistance to different categories of people affected by the emergency. See also:  Family and Friends Reception Centre; Friends and Relatives Reception Centre; Humanitarian Assistance Centre; Public Information Point; Responders Welfare Centre; Rest Centre; Survivor Reception Centre,,
Assistant Chief Constable,ACC,2.1,CCS,,Note: included for acronym,
Assisting council ,,2.0,CCS,(Local authority guidance term for) Local council providing mutual aid to an affected council,,
Association of British Insurers ,ABI,2.0,CCS,The representative body for the collective interests of the UK’s insurance industry.,,
Association of Chief Police Officers ,ACPO,2.0,CCS,The professional body of chief police officers. Its core activity is developing policing policy.,,
Association of Chief Police Officers (Scotland),ACPOS,2.0,CCS,The professional body of chief police officers in Scotland. Its core activity_is developing policing policy.,,
Association of Chief Police Officers (Terrorism and Allied Matters),ACPO (TAM),2.1,MPS,,Note: included for acronym,
Association of Lowland Search and Rescue,ASLAR,2.1,,Charitable organisation dedicated to assisting the emergency services in looking for missing persons and to coordinate adequate arrangements for search and rescue in the lowland areas of the UK,,
Atomic Weapons Establishment,AWE,2.1,MOD,,Note: included for acronym,
Back-up,,1.0,CCS,Military or emergency services contingent providing additional support in an operation  ,,
Bellwin Scheme ,,1.0,CCS,"Discretionary scheme for providing Central Government financial assistance in exceptional circumstances to affected local authorities (e.g. councils, police authorities) in the event of an emergency",,
Blue Route,,2.0,CCS,A dedicated route for emergency vehicles to access to and egress from the scene of an emergency or major incident.  ,"Note: in the event of an emergency or major incident, certain road closures will be implemented for the purpose of protecting life, property and ensuring the preservation of a potential crime scene. A dedicated route for emergency vehicles assisted by these road closures and other traffic measures will facilitate the access to and egress from the incident.",
Business continuity management,BCM,2.0,CCS,"A management process that helps manage risks to the smooth running of an organisation or delivery of a service, ensuring that it can operate to the extent required in the event of a disruption",,
Body Collection Point,,2.0,CCS,See Holding and audit area for deceased people and human remains,,
Body Holding Area,,2.0,CCS,See Holding and audit area for deceased people and human remains,,
Body Viewing Area,,1.0,CCS,Area in which family members may view the bodies of people who have died in an emergency  ,,
Brigade,Bde,2.1,MOD,Army level of command.  Commanded by a One Star Officer who can have between 2000 and 10000 troops under their command,,
British Association of Immediate Care Schemes,BASICS,1.0,CCS,Professional association whose members are volunteer medical practitioners trained and equipped for the pre-hospital care of casualties at the scene of an accident or emergency  ,,
British Red Cross,BRC,2.0,BRC,"An organisation that helps people in crisis. It is part of a global voluntary network that responds to conflicts, natural disasters and individual emergencies and then helps people to recover and move on with their lives.",,
British Transport Police,BTP,2.0,CCS,"The police force providing a policing service to rail operators, their staff and passengers throughout England, Wales and Scotland.",,"England, Wales and Scotland"
Bronze,,1.0,CCS,The tier of command and control within a single agency (below gold level and silver level) at which the management of ‘hands-on’ work is undertaken at the incident site(s) or associated areas,Bronze level is also known as the operational level,
Bus Evacuation Loading Point,,2.0,CCS,See under Hub,,
Bus Head ,,2.0,CCS,See under Hub,,
Bus Hub,,2.0,CCS,See under Head,,
Business continuity ,BC,1.0,CCS,Strategic and tactical capability of an organisation to plan for and respond to incidents and business disruptions in order to continue business operations at an acceptable predefined level  ,,
Business Continuity  Plan,BCP,2.0,CCS,"Documented collection of procedures and information developed, compiled and maintained in readiness for use in an incident to enable an organisation to continue to deliver its critical functions at an acceptable predefined level  ",,
Business Continuity Forum,,2.0,CCS,Grouping of organisations to share and coordinate business continuity plans.,,
Business Continuity Management,BCM,1.0,CCS,"Holistic management process that identifies potential threats to an organisation and the impacts to business operations that those threats, if realised, might cause, and which provides a framework for building organisational resilience with the capability for an effective response",,
Business impact analysis ,BIA,2.0,CCS,A method of assessing the impacts that might result from an incident and the levels of resources and time required for recovery.,,
Cabinet Office ,CO,1.0,CCS,Department of the United Kingdom Government responsible for supporting the Prime Minister and Cabinet  ,,
Cabinet Office Briefing Rooms ,COBR,1.0,CCS,"UK Government’s dedicated crisis management facilities, which are activated in the event of an emergency requiring support and co-ordination at the national strategic level  ",,
Cabinet Office Civil Contingencies Secretariat ,CCS,1.0,ERR,"Cabinet Office secretariat which provides the central focus for the cross-departmental and cross-agency commitment, co-ordination and cooperation that will enable the United Kingdom to deal effectively with disruptive challenges  ",,
Capabilities Programme,,2.0,CCS,"A programme to develop a range of capabilities that underpin the UK’s resilience to disruptive challenges. These capabilities are categorised as being structural (e.g. local response), functional (e.g. mass casualties) or relating to essential services (e.g. financial services). ",,
Capability,,2.0,CCS,A demonstrable ability to respond to and recover from a particular threat or hazard. ,,
